capture-server listening on http://127.0.0.1:8931
[capture] "GET /status HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L04-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L04-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L05-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L05-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L06-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L06-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L07-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L07-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L09-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L09-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L08-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L08-raw.json HTTP/1.1" 200 -
[capture] "GET /status HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L10-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L10-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L11-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L11-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L12-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L12-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L13-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L13-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L14-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L14-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L15-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L15-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L16-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L16-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L17-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L17-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L18-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L18-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L19-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L19-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L20-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L20-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L21-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L21-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L22-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L22-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L23-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L23-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L24-raw.json HTTP/1.1" 204 -
[capture] "POST /save?file=L24-raw.json HTTP/1.1" 200 -
[capture] "OPTIONS /save?file=L25-raw.json HTTP/1.1" 204 -
